state,year,dem_name,rep_name,dem_spend,rep_spend,dem_pac,rep_pac
Virginia,2012,Obama,Romney,737.1,458.7,70.5,143.3
Washington,2012,Obama,Romney,737.1,458.7,70.5,143.3
West Virginia,2012,Obama,Romney,737.1,458.7,70.5,143.3
Wisconsin,2012,Obama,Romney,737.1,458.7,70.5,143.3
Wyoming,2012,Obama,Romney,737.1,458.7,70.5,143.3
Alabama,2016,H. Clinton,Trump,450.6,239,137,30.6
Alaska,2016,H. Clinton,Trump,450.6,239,137,30.6
Arizona,2016,H. Clinton,Trump,450.6,239,137,30.6
Arkansas,2016,H. Clinton,Trump,450.6,239,137,30.6
California,2016,H. Clinton,Trump,450.6,239,137,30.6
Colorado,2016,H. Clinton,Trump,450.6,239,137,30.6
Connecticut,2016,H. Clinton,Trump,450.6,239,137,30.6
Delaware,2016,H. Clinton,Trump,450.6,239,137,30.6
District of Columbia,2016,H. Clinton,Trump,450.6,239,137,30.6
Florida,2016,H. Clinton,Trump,450.6,239,137,30.6
Georgia,2016,H. Clinton,Trump,450.6,239,137,30.6
Hawaii,2016,H. Clinton,Trump,450.6,239,137,30.6
Idaho,2016,H. Clinton,Trump,450.6,239,137,30.6
Illinois,2016,H. Clinton,Trump,450.6,239,137,30.6
Indiana,2016,H. Clinton,Trump,450.6,239,137,30.6
Iowa,2016,H. Clinton,Trump,450.6,239,137,30.6
Kansas,2016,H. Clinton,Trump,450.6,239,137,30.6
Kentucky,2016,H. Clinton,Trump,450.6,239,137,30.6
Louisiana,2016,H. Clinton,Trump,450.6,239,137,30.6
Maine,2016,H. Clinton,Trump,450.6,239,137,30.6
Maryland,2016,H. Clinton,Trump,450.6,239,137,30.6
Massachusetts,2016,H. Clinton,Trump,450.6,239,137,30.6
Michigan,2016,H. Clinton,Trump,450.6,239,137,30.6
Minnesota,2016,H. Clinton,Trump,450.6,239,137,30.6
Mississippi,2016,H. Clinton,Trump,450.6,239,137,30.6
Missouri,2016,H. Clinton,Trump,450.6,239,137,30.6
Montana,2016,H. Clinton,Trump,450.6,239,137,30.6
Nebraska,2016,H. Clinton,Trump,450.6,239,137,30.6
Nevada,2016,H. Clinton,Trump,450.6,239,137,30.6
New Hampshire,2016,H. Clinton,Trump,450.6,239,137,30.6
New Jersey,2016,H. Clinton,Trump,450.6,239,137,30.6
New Mexico,2016,H. Clinton,Trump,450.6,239,137,30.6
New York,2016,H. Clinton,Trump,450.6,239,137,30.6
North Carolina,2016,H. Clinton,Trump,450.6,239,137,30.6
North Dakota,2016,H. Clinton,Trump,450.6,239,137,30.6
Ohio,2016,H. Clinton,Trump,450.6,239,137,30.6
Oklahoma,2016,H. Clinton,Trump,450.6,239,137,30.6
Oregon,2016,H. Clinton,Trump,450.6,239,137,30.6
Pennsylvania,2016,H. Clinton,Trump,450.6,239,137,30.6
Rhode Island,2016,H. Clinton,Trump,450.6,239,137,30.6
South Carolina,2016,H. Clinton,Trump,450.6,239,137,30.6
South Dakota,2016,H. Clinton,Trump,450.6,239,137,30.6
Texas,2016,H. Clinton,Trump,450.6,239,137,30.6
Utah,2016,H. Clinton,Trump,450.6,239,137,30.6
Vermont,2016,H. Clinton,Trump,450.6,239,137,30.6
Virginia,2016,H. Clinton,Trump,450.6,239,137,30.6
Washington,2016,H. Clinton,Trump,450.6,239,137,30.6
West Virginia,2016,H. Clinton,Trump,450.6,239,137,30.6
Wisconsin,2016,H. Clinton,Trump,450.6,239,137,30.6
Wyoming,2016,H. Clinton,Trump,450.6,239,137,30.6
