year,state,hs_grad,bachelors,adv_degree,media houdhold income,rep_spending,dem_spending,inflation_rate,poverty_rate,stock_change,unemployment_rate,perc_urban,rep_sen,rep_house,campaign_fund,rep_legis,stateGDP,rep_win
2004,New Jersey,87.6,34.6,12.4,71907,452.98,424.526,3.26,8.5,8.59,5.9,94.53125,0.51,0.5264,0.5162,43,1.196787917,0
2004,New Mexico,82.9,25.1,10.9,51466,452.98,424.526,3.26,19.3,8.59,6.1,76.05,0.51,0.5264,0.5162,40,0.884024676,1
2004,New York,85.4,30.6,13.3,58084,452.98,424.526,3.26,14.2,8.59,7.1,87.675,0.51,0.5264,0.5162,40,1.196745373,0
2004,North Carolina,80.9,23.4,8.3,52346,452.98,424.526,3.26,15.2,8.59,6.3,62.78125,0.51,0.5264,0.5162,49,0.933120613,1
2004,North Dakota,89.5,25.2,6.5,51021,452.98,424.526,3.26,12.1,8.59,4.4,57.65,0.51,0.5264,0.5162,69,0.852988726,1
2004,Ohio,88.1,24.6,8.3,56010,452.98,424.526,3.26,12.5,8.59,6.9,77.61875,0.51,0.5264,0.5162,64,0.945203148,1
2004,Oklahoma,85.2,22.9,7.2,51534,452.98,424.526,3.26,15.3,8.59,5.7,65.69375,0.51,0.5264,0.5162,46,0.779281004,1
2004,Oregon,87.4,25.9,10,53329,452.98,424.526,3.26,14.1,8.59,8.7,79.70625,0.51,0.5264,0.5162,56,0.897596256,0
2004,Pennsylvania,86.5,25.3,9.6,57378,452.98,424.526,3.26,11.7,8.59,6.2,77.8,0.51,0.5264,0.5162,55,0.948415231,0
2004,Rhode Island,81.1,27.2,11.3,62359,452.98,424.526,3.26,12.8,8.59,6.3,90.8125,0.51,0.5264,0.5162,15,0.985109551,0
2004,South Carolina,83.6,24.9,7.9,50333,452.98,424.526,3.26,15.7,8.59,7.3,63.0375,0.51,0.5264,0.5162,58,0.789704318,1
2004,South Dakota,87.5,25.5,7.2,53476,452.98,424.526,3.26,11,8.59,4.2,54,0.51,0.5264,0.5162,71,0.894405446,1
2004,Tennessee,82.9,24.3,7.5,49528,452.98,424.526,3.26,14.9,-40.54,5.3,64.2,0.49,0.4644,0.5162,45,0.888683259,1
2004,Texas,78.3,24.5,8,53853,452.98,424.526,3.26,16.6,8.59,6.6,83.4625,0.51,0.5264,0.5162,59,0.97194214,1
